title,slug,kind,countries,chart_places,weeks,peak_rank,first_week,last_week,has_page
I,i,Films,2,3,3,3,2023-10-29,2025-03-30,no
I Am Sam,i-am-sam,Films,1,1,1,7,2023-11-12,2023-11-12,no
I am Solo,i-am-solo,TV,1,112,111,1,2021-11-21,2026-08-16,no
I Can't Live Without You,i-can-t-live-without-you,Films,20,36,4,1,2024-08-18,2024-09-08,yes
I Need Romance,i-need-romance,TV,1,6,6,7,2021-07-11,2021-08-15,no
I Saw the Devil,i-saw-the-devil,Films,1,2,2,3,2021-11-21,2021-11-28,no
"I, the Executioner",i-the-executioner,Films,2,11,11,1,2025-02-02,2025-08-10,no
Idol I,idol-i,TV,17,40,6,3,2025-12-28,2026-02-01,yes
If Wishes Could Kill,if-wishes-could-kill,TV,65,187,10,1,2026-04-26,2026-06-28,yes
Illusion,illusion,Films,1,2,2,5,2023-01-15,2023-01-22,no
Impetigore,impetigore,Films,1,5,5,2,2021-10-03,2021-10-31,no
In Between,in-between,Films,2,3,3,5,2024-10-06,2025-09-28,no
In Her Place,in-her-place,Films,2,5,3,3,2024-10-13,2024-10-27,no
In Our Prime,in-our-prime,Films,1,6,6,1,2022-06-26,2022-07-31,yes
In the Name of God: A Holy Betrayal,in-the-name-of-god-a-holy-betrayal,TV,7,24,6,2,2023-03-05,2023-04-09,yes
Innocence,innocence,Films,1,1,1,9,2022-10-23,2022-10-23,no
Innocent Witness,innocent-witness,Films,1,1,1,8,2023-04-02,2023-04-02,no
Inside Men,inside-men,Films,3,6,5,1,2021-09-12,2022-08-07,yes
Insider,insider,TV,1,7,7,2,2022-07-31,2022-09-11,no
Inspector Koo,inspector-koo,TV,7,29,7,3,2021-11-07,2021-12-19,yes
Iris,iris,TV,1,2,2,9,2022-07-24,2022-07-31,yes
Iron Family,iron-family,TV,1,1,1,6,2024-10-06,2024-10-06,yes
Iron Man,iron-man,Films,1,1,1,10,2022-01-09,2022-01-09,no
Island,island,Films,2,12,7,1,2023-07-23,2023-09-24,yes
It's Okay to Not Be Okay,it-s-okay-to-not-be-okay,TV,1,13,13,1,2025-07-20,2025-10-12,yes
It’s Okay!,it-s-okay,Films,1,2,2,3,2026-06-07,2026-06-14,yes
Itaewon Class,itaewon-class,TV,4,74,64,1,2021-07-04,2022-11-06,yes
Jackpot,jackpot,Films,2,15,12,1,2022-08-14,2022-10-30,no
Jeong-Sun,jeong-sun,Films,1,1,1,3,2024-12-22,2024-12-22,no
Jirisan,jirisan,TV,8,26,9,1,2022-10-30,2023-05-28,yes
Jo Pil-ho: The Dawning Rage,jo-pil-ho-the-dawning-rage,Films,1,3,3,7,2022-01-23,2022-02-06,yes
Judge vs. Judge,judge-vs-judge,TV,1,1,1,10,2025-04-13,2025-04-13,no
JUNG_E,jung-e,Films,87,172,4,1,2023-01-22,2023-02-12,yes
Juror 8,juror-8,Films,1,2,2,6,2024-05-12,2024-05-19,no
Juvenile Justice,juvenile-justice,TV,31,134,14,1,2022-02-27,2026-07-12,yes
Karma,karma,TV,42,93,6,1,2025-04-06,2025-05-11,yes
KATURI the Movie The Big City Adventure,katuri-the-movie-the-big-city-adventure,Films,1,2,2,9,2023-09-03,2023-09-10,no
Keys to the Heart,keys-to-the-heart,Films,1,3,3,3,2023-10-08,2023-10-22,no
Keys To The Heart,keys-to-the-heart,Films,1,1,1,9,2024-11-17,2024-11-17,no
Kill Boksoon,kill-boksoon,Films,84,225,11,1,2023-04-02,2025-10-12,yes
King of Prison 2: The Prison War,king-of-prison-2-the-prison-war,Films,1,2,2,3,2022-07-03,2022-07-10,no
King the Land,king-the-land,TV,55,452,22,1,2023-06-18,2024-08-04,yes
Kingdom,kingdom,Films,31,121,39,1,2021-07-25,2026-07-19,yes
Kingdom: Ashin of the North,kingdom-ashin-of-the-north,Films,76,135,12,1,2021-07-25,2021-10-31,yes
Kingmaker,kingmaker,Films,1,2,2,7,2025-10-19,2025-10-26,no
Knight Flower,knight-flower,TV,1,1,1,8,2024-11-03,2024-11-03,yes
Knock Knock,knock-knock,Films,4,4,2,7,2021-10-10,2024-02-11,no
Land,land,Films,43,53,23,3,2023-01-01,2025-03-02,yes
Land Of Happiness,land-of-happiness,Films,1,2,2,4,2026-03-22,2026-03-29,no
Last Holiday,last-holiday,Films,36,44,5,3,2022-08-14,2024-12-29,yes
Last Knights,last-knights,Films,20,28,3,2,2022-07-03,2022-07-17,yes
Last Summer,last-summer,TV,6,12,7,1,2021-07-11,2025-11-23,yes
Law School,law-school,TV,2,3,2,8,2021-07-04,2021-07-11,yes
Lawless Lawyer,lawless-lawyer,TV,11,28,5,1,2021-08-01,2021-08-29,yes
Liar,liar,TV,2,4,3,5,2022-05-01,2022-05-15,no
Lies Hidden in my Garden,lies-hidden-in-my-garden,TV,1,5,5,1,2023-06-25,2023-07-23,no
Life,life,Films,11,15,7,4,2021-12-05,2025-05-18,yes
Life is Beautiful,life-is-beautiful,Films,1,3,3,2,2023-01-15,2023-01-29,no
Life Is Beautiful,life-is-beautiful,Films,1,2,2,5,2023-01-29,2025-02-02,no
"Like Father, Like Son",like-father-like-son,Films,1,1,1,7,2022-05-29,2022-05-29,no
Like Flowers in Sand,like-flowers-in-sand,TV,2,4,3,6,2023-12-24,2024-01-07,yes
Little Women,little-women,Films,72,288,40,1,2021-08-29,2023-06-04,yes
Live,live,Films,1,5,5,3,2024-01-07,2024-02-04,no
Live Stream,live-stream,Films,1,2,2,2,2023-10-08,2023-10-15,no
Lobby,lobby,Films,1,3,3,2,2026-07-12,2026-07-26,no
Long Distance,long-distance,Films,1,2,2,7,2026-06-14,2026-06-21,no
Lookism,lookism,TV,10,15,2,5,2022-12-11,2022-12-18,yes
Lost in Starlight,lost-in-starlight,Films,2,4,2,5,2025-06-01,2025-06-08,yes
Love (ft. Marriage and Divorce),love-ft-marriage-and-divorce,TV,10,89,19,2,2021-07-04,2022-05-08,yes
Love and Leashes,love-and-leashes,Films,18,35,4,1,2022-02-13,2022-03-06,yes
Love Child,love-child,Films,1,2,2,5,2025-01-05,2025-01-12,no
Love in Contract,love-in-contract,TV,1,1,1,9,2024-11-17,2024-11-17,no
Love in the Big City,love-in-the-big-city,Films,2,11,11,1,2025-02-16,2025-09-21,yes
Love in the Moonlight,love-in-the-moonlight,TV,1,2,2,6,2022-07-24,2022-07-31,no
Love is for Suckers,love-is-for-suckers,TV,1,1,1,6,2022-12-11,2022-12-11,no
Love Letter,love-letter,Films,2,2,1,4,2024-12-15,2024-12-15,no
Love me,love-me,TV,2,11,4,2,2024-02-11,2024-03-03,no
Love Me,love-me,TV,1,5,5,7,2025-12-21,2026-01-18,no
Love Next Door,love-next-door,TV,53,368,13,1,2024-08-18,2024-11-10,yes
Love Reset,love-reset,Films,1,3,3,1,2024-07-07,2024-07-21,no
Love Scout,love-scout,TV,9,54,10,2,2025-01-05,2026-03-15,yes
Love Song,love-song,Films,2,2,1,8,2021-10-31,2021-10-31,no
Love to Hate You,love-to-hate-you,TV,51,88,6,1,2023-02-12,2023-03-19,yes
Love Untangled,love-untangled,Films,61,129,7,1,2025-08-31,2025-10-12,yes
Lovely Runner,lovely-runner,TV,13,51,10,1,2024-08-04,2026-06-21,yes
Lucid Dream,lucid-dream,Films,1,2,2,6,2022-04-17,2022-04-24,no
Luck-Key,luck-key,Films,1,1,1,9,2021-08-29,2021-08-29,no
Mad for Each Other,mad-for-each-other,TV,1,3,3,5,2021-07-04,2022-01-30,no
Madam,madam,TV,2,4,2,4,2025-10-05,2025-10-12,no
Made in Korea,made-in-korea,Films,54,107,5,1,2026-03-15,2026-05-24,yes
Mama,mama,Films,13,15,4,4,2024-06-02,2026-02-08,yes
Man in Love,man-in-love,Films,7,30,28,1,2021-08-22,2025-12-07,yes
Man of Men,man-of-men,Films,1,1,1,10,2022-04-24,2022-04-24,no
Mantis,mantis,Films,59,117,8,1,2025-09-28,2025-11-16,yes
Marry YOU,marry-you,TV,3,5,2,3,2024-11-24,2024-12-01,yes
Mask Girl,mask-girl,TV,72,155,8,1,2023-08-20,2023-10-08,yes
Master,master,Films,1,1,1,6,2023-01-15,2023-01-15,no
Melo Movie,melo-movie,TV,27,44,5,1,2025-02-16,2025-03-16,yes
Memoir of a Murderer,memoir-of-a-murderer,Films,1,1,1,9,2022-03-13,2022-03-13,yes
Memory,memory,Films,20,58,20,1,2022-12-04,2026-05-10,yes
Men of Plastic,men-of-plastic,Films,1,5,5,1,2023-03-12,2023-04-09,yes
Men on a Mission,men-on-a-mission,TV,1,5,5,7,2021-07-18,2021-12-05,no
Mercy For None,mercy-for-none,TV,75,210,12,1,2025-06-08,2026-08-09,yes
Metamorphosis,metamorphosis,Films,1,2,2,9,2021-09-19,2021-09-26,yes
Mickey 17,mickey-17,Films,14,16,2,3,2026-05-24,2026-05-31,yes
Midnight,midnight,Films,2,5,5,2,2022-10-16,2023-05-14,yes
Midnight Runners,midnight-runners,Films,2,6,6,2,2022-09-11,2023-10-29,yes
Midnight Sun,midnight-sun,Films,8,9,5,2,2023-05-07,2025-09-07,yes
Military Prosecutor Doberman,military-prosecutor-doberman,TV,13,38,10,1,2022-09-04,2024-07-21,yes
Mimi,mimi,Films,21,109,14,1,2021-08-01,2021-10-31,yes
Mine,mine,Films,36,87,12,1,2021-07-04,2023-03-12,yes
Miracle in Cell No. 7,miracle-in-cell-no-7,Films,2,6,6,2,2022-09-18,2024-01-28,yes
Miracle in Cell No.7,miracle-in-cell-no-7,Films,1,1,1,6,2023-05-28,2023-05-28,no
Miracle: Letters to the President,miracle-letters-to-the-president,Films,1,7,7,2,2021-12-26,2022-02-06,yes
Miraculous Brothers,miraculous-brothers,TV,5,8,3,6,2023-09-17,2023-10-01,yes
Miss & Mrs. Cops,miss-mrs-cops,Films,1,1,1,6,2021-12-12,2021-12-12,yes
Miss Baek,miss-baek,Films,1,2,2,4,2024-05-19,2024-05-26,no
Miss Conspirator,miss-conspirator,Films,1,2,2,8,2026-02-15,2026-02-22,no
Miss Granny,miss-granny,Films,1,1,1,8,2022-12-18,2022-12-18,yes
Miss Night and Day,miss-night-and-day,TV,38,293,14,1,2024-06-16,2024-09-15,yes
Missing: The Other Side,missing-the-other-side,TV,10,26,8,3,2022-10-16,2023-06-18,yes
Mission: Cross,mission-cross,Films,43,70,9,1,2024-08-11,2024-12-08,yes
Mission: Possible,mission-possible,Films,1,3,3,3,2023-10-15,2023-10-29,no
Misty,misty,TV,1,3,3,4,2021-11-14,2021-11-28,yes
Moby Dick,moby-dick,Films,1,3,3,1,2021-09-19,2021-10-03,no
Modern Family,modern-family,TV,8,22,8,2,2021-08-08,2021-10-17,yes
Money Heist: Korea - Joint Economic Area,money-heist-korea-joint-economic-area,TV,77,212,7,1,2022-06-26,2022-12-25,yes
Monster,monster,Films,27,40,13,2,2021-10-10,2026-01-18,yes
Montage,montage,Films,1,1,1,9,2026-05-03,2026-05-03,yes
Monthly Magazine Home,monthly-magazine-home,TV,1,2,2,6,2021-08-15,2021-08-22,no
More Than Blue,more-than-blue,Films,1,5,5,1,2022-05-08,2022-06-05,yes
More Than Family,more-than-family,Films,1,1,1,3,2021-12-12,2021-12-12,yes
Morning Glory,morning-glory,Films,5,9,4,4,2022-09-11,2024-05-12,yes
Mothers,mothers,Films,2,10,5,1,2021-10-24,2021-11-21,no
Moving On,moving-on,Films,9,9,8,2,2024-04-14,2025-09-21,yes
Mr. Plankton,mr-plankton,TV,42,98,6,1,2024-11-10,2024-12-15,yes
Mr. Queen,mr-queen,TV,43,213,12,1,2023-02-19,2024-08-11,yes
Mr. Right,mr-right,Films,2,3,2,5,2024-10-06,2024-10-13,no
Mr. Robot,mr-robot,TV,43,74,6,1,2021-08-29,2021-10-24,yes
Mr. Sunshine,mr-sunshine,TV,1,23,23,7,2021-08-22,2023-04-23,yes
Ms. Apocalypse,ms-apocalypse,Films,1,2,2,4,2024-07-28,2024-08-04,no
Murder Report,murder-report,Films,1,6,6,1,2025-12-14,2026-01-18,no
Murderer,murderer,Films,6,7,2,2,2023-11-12,2023-11-19,yes
Musudan,musudan,Films,1,1,1,4,2021-11-21,2021-11-21,no
My Absolute Boyfriend,my-absolute-boyfriend,TV,1,3,3,4,2022-11-13,2022-11-27,yes
My Annoying Brother,my-annoying-brother,Films,2,5,4,1,2025-03-02,2025-03-23,yes
"My Boss, My Teacher",my-boss-my-teacher,Films,1,2,2,7,2022-11-20,2022-11-27,no
My Country: The New Age,my-country-the-new-age,TV,1,3,3,3,2021-08-08,2021-08-22,yes
My Demon,my-demon,TV,66,506,20,1,2023-11-26,2024-08-11,yes
My First Client,my-first-client,Films,1,2,2,7,2021-07-04,2021-07-11,no
My Girl,my-girl,Films,1,1,1,9,2021-07-04,2021-07-04,yes
My Golden Life,my-golden-life,TV,1,3,3,6,2022-08-07,2022-08-21,yes
My Happy Ending,my-happy-ending,TV,1,6,6,4,2024-01-07,2024-02-11,yes
My Heart Puppy,my-heart-puppy,Films,1,1,1,6,2024-09-29,2024-09-29,yes
My ID is Gangnam Beauty,my-id-is-gangnam-beauty,TV,11,23,11,4,2021-11-07,2023-03-05,yes
My Liberation Notes,my-liberation-notes,TV,15,83,15,1,2022-04-17,2022-07-24,yes
"My Love, My Bride",my-love-my-bride,Films,1,1,1,6,2022-11-20,2022-11-20,yes
My Lovely Liar,my-lovely-liar,TV,3,4,2,6,2025-09-28,2025-10-05,yes
My Mister,my-mister,TV,1,8,8,5,2021-07-04,2022-06-19,yes
My Name,my-name,TV,91,277,9,1,2021-10-17,2021-12-12,yes
My Name Is Loh Kiwan,my-name-is-loh-kiwan,Films,31,50,5,1,2024-03-03,2024-03-31,yes
My Old Lady,my-old-lady,Films,2,2,1,9,2023-06-11,2023-06-11,no
My Roommate Is a Gumiho,my-roommate-is-a-gumiho,TV,7,35,23,1,2022-03-06,2023-04-30,yes
My Royal Nemesis,my-royal-nemesis,TV,49,338,10,1,2026-05-10,2026-07-12,yes
My Sassy Girl,my-sassy-girl,TV,2,4,4,5,2021-08-08,2021-11-28,no
My Son,my-son,Films,10,20,4,1,2024-02-25,2024-05-05,yes
My Sweet Mobster,my-sweet-mobster,TV,1,3,3,9,2024-08-25,2024-09-08,no
My Turn,my-turn,TV,1,1,1,10,2025-09-21,2025-09-21,no
My Unfamiliar Family,my-unfamiliar-family,TV,1,1,1,10,2022-07-31,2022-07-31,no
My Wonderful Life,my-wonderful-life,Films,1,1,1,4,2022-03-06,2022-03-06,no
My Worst Neighbor,my-worst-neighbor,Films,1,2,2,2,2023-10-01,2023-10-08,no
Nailed,nailed,Films,1,1,1,8,2022-02-20,2022-02-20,no
Narco-Saints,narco-saints,TV,82,164,10,1,2022-09-11,2022-11-13,yes
National Security,national-security,Films,2,2,1,7,2021-10-24,2021-10-24,no
Never Give Up,never-give-up,TV,1,9,9,3,2022-05-15,2022-07-10,no
"Nevertheless,",nevertheless,TV,33,156,16,1,2021-07-04,2021-10-24,yes
New Normal,new-normal,Films,1,2,2,5,2026-03-08,2026-03-15,yes
New World,new-world,TV,2,4,3,8,2021-11-28,2021-12-12,yes
Next Door,next-door,Films,1,2,2,2,2023-04-02,2023-04-09,no
Next Sohee,next-sohee,Films,1,2,2,5,2023-07-23,2023-07-30,yes
Night and Day,night-and-day,TV,1,3,3,7,2024-11-03,2024-11-17,no
Night Has Come,night-has-come,TV,1,4,4,4,2023-12-10,2023-12-31,no
Night in Paradise,night-in-paradise,Films,1,13,13,5,2021-07-11,2022-04-24,no
No Mercy,no-mercy,Films,2,5,5,2,2022-04-24,2026-01-11,no
No Other Choice,no-other-choice,Films,1,6,6,1,2026-02-01,2026-03-08,yes
No Tail to Tell,no-tail-to-tell,TV,23,73,8,3,2026-01-18,2026-03-08,yes
No Tears for the Dead,no-tears-for-the-dead,Films,1,1,1,6,2024-06-02,2024-06-02,no
Nobody Knows,nobody-knows,Films,1,1,1,2,2023-06-11,2023-06-11,no
Nocturnal,nocturnal,Films,2,15,15,1,2025-05-18,2025-11-23,no
Noise,noise,Films,72,115,10,1,2023-01-15,2026-08-16,yes
Noryang: Deadly Sea,noryang-deadly-sea,Films,1,4,4,1,2024-04-21,2024-05-12,no
Not Others,not-others,TV,1,1,1,10,2025-01-05,2025-01-05,yes
Notes from the Last Row,notes-from-the-last-row,TV,21,29,4,2,2026-06-28,2026-07-19,yes
Nothing Serious,nothing-serious,Films,1,4,4,5,2023-01-01,2023-02-19,no
Now and Forever,now-and-forever,TV,1,1,1,8,2024-12-22,2024-12-22,no
"Now, We Are Breaking Up",now-we-are-breaking-up,TV,1,5,5,1,2023-04-09,2023-05-07,yes
Number One,number-one,Films,2,5,5,1,2026-05-24,2026-08-16,no
Oasis,oasis,TV,82,253,9,2,2026-06-21,2026-08-16,yes
Obsessed,obsessed,Films,1,1,1,10,2023-10-08,2023-10-08,yes
Off Road,off-road,TV,1,5,5,1,2025-07-13,2025-08-10,no
Officer Black Belt,officer-black-belt,Films,89,205,7,1,2024-09-15,2025-03-30,yes
Oh My Baby,oh-my-baby,TV,2,3,2,8,2022-07-10,2022-07-17,no
Oh My Ghost Clients,oh-my-ghost-clients,TV,7,36,7,2,2025-06-01,2025-07-13,yes
Oh My Venus,oh-my-venus,TV,17,47,10,3,2021-10-10,2022-09-04,yes
Oldboy,oldboy,Films,2,3,3,4,2021-12-26,2023-06-04,yes
Omniscient Reader: The Prophecy,omniscient-reader-the-prophecy,Films,1,6,6,1,2025-12-07,2026-01-11,no
Once Again,once-again,Films,3,12,12,2,2021-07-11,2024-07-14,yes
Once Upon a Small Town,once-upon-a-small-town,TV,21,24,5,3,2022-09-25,2022-11-13,yes
One Night Stand,one-night-stand,Films,2,4,4,1,2023-05-21,2026-05-10,no
One on One,one-on-one,Films,1,1,1,4,2024-10-27,2024-10-27,yes
One Ordinary Day,one-ordinary-day,TV,1,2,2,8,2023-04-16,2023-04-23,no
One the Woman,one-the-woman,TV,12,24,7,1,2022-10-09,2025-08-17,yes
One-Line,one-line,Films,1,2,2,3,2022-02-20,2022-02-27,no
Only God knows Everything,only-god-knows-everything,Films,1,3,3,3,2025-12-14,2025-12-28,no
Only You,only-you,TV,7,17,8,1,2022-01-30,2025-08-17,yes
Open City,open-city,Films,1,2,2,5,2024-11-17,2024-11-24,no
Operation Chromite,operation-chromite,Films,2,3,2,9,2022-02-06,2022-02-13,yes
Our Beloved Summer,our-beloved-summer,TV,18,137,15,1,2021-12-12,2022-03-20,yes
Our Blooming Youth,our-blooming-youth,TV,1,1,1,10,2025-06-22,2025-06-22,yes
Our Blues,our-blues,TV,12,123,16,1,2022-04-17,2022-07-31,yes
Our Season,our-season,Films,1,5,5,2,2024-03-10,2024-04-07,no
Our Sticky Love,our-sticky-love,TV,68,112,2,1,2026-08-09,2026-08-16,yes
Our Universe,our-universe,TV,5,6,2,7,2022-11-27,2022-12-04,yes
Our Unwritten Seoul,our-unwritten-seoul,TV,40,176,9,1,2025-05-25,2025-07-20,yes
Outback,outback,Films,1,2,2,10,2023-07-30,2023-08-06,no
Outlaw,outlaw,Films,53,80,2,2,2024-09-15,2024-09-22,yes
Pale Moon,pale-moon,TV,1,6,6,3,2023-04-23,2023-05-28,yes
Pandora,pandora,Films,1,1,1,9,2026-02-08,2026-02-08,no
Parasite,parasite,Films,4,11,11,3,2021-07-04,2025-12-07,yes
Parasyte: The Grey,parasyte-the-grey,TV,84,247,11,1,2024-04-07,2024-06-16,yes
Parole Examiner Lee,parole-examiner-lee,TV,1,6,6,1,2024-11-24,2024-12-29,yes
Part-Time Spy,part-time-spy,Films,1,2,2,4,2022-10-16,2022-10-23,no
Pavane,pavane,Films,19,26,3,1,2026-02-22,2026-03-08,yes
Pawn,pawn,Films,1,2,2,9,2023-02-12,2023-02-19,yes
Payback,payback,Films,2,2,1,9,2021-09-19,2021-09-19,no
Payback: Money and Power,payback-money-and-power,TV,1,1,1,6,2025-02-23,2025-02-23,yes
Peninsula,peninsula,Films,5,11,10,1,2021-07-04,2026-06-14,yes
People and Meat,people-and-meat,Films,1,3,3,4,2026-07-12,2026-07-26,no
Perfect Marriage Revenge,perfect-marriage-revenge,TV,1,4,4,6,2023-11-05,2023-11-26,yes
Perhaps Love,perhaps-love,Films,1,7,7,2,2022-02-13,2022-03-27,no
Persona: Sulli,persona-sulli,Films,2,2,1,6,2023-11-19,2023-11-19,no
Phantom,phantom,Films,2,4,4,1,2024-01-07,2024-10-13,yes
Phantom Lawyer,phantom-lawyer,TV,20,120,11,1,2026-03-15,2026-05-24,yes
Physical: Asia,physical-asia,TV,44,101,5,1,2025-11-02,2025-11-30,yes
Picnic,picnic,Films,1,2,2,4,2024-05-26,2024-06-02,no
Pilot,pilot,Films,1,12,12,1,2024-11-24,2025-02-09,no
Pink,pink,Films,1,2,2,6,2021-07-18,2021-07-25,no
Pinocchio,pinocchio,TV,1,3,3,9,2022-06-05,2023-03-26,yes
PLUTO,pluto,TV,2,3,2,5,2023-10-29,2023-11-05,no
Police University,police-university,TV,6,16,4,3,2022-07-31,2022-08-21,yes
"Poong, the Joseon Psychiatrist",poong-the-joseon-psychiatrist,TV,13,28,6,1,2023-01-15,2024-09-22,yes
Pororo and Friends: Virus Busters,pororo-and-friends-virus-busters,Films,1,1,1,9,2023-12-31,2023-12-31,no
"Pororo, The Racing Adventure",pororo-the-racing-adventure,Films,1,1,1,10,2023-12-10,2023-12-10,no
Portrait of a Beauty,portrait-of-a-beauty,Films,1,2,2,10,2022-12-04,2022-12-11,no
Poseidon,poseidon,Films,11,13,5,4,2023-09-17,2026-06-28,yes
Positively Yours,positively-yours,TV,1,3,3,8,2026-01-25,2026-02-22,yes
Possessed,possessed,Films,2,3,2,3,2023-02-19,2023-02-26,no
Possession,possession,Films,3,5,2,3,2023-04-23,2023-04-30,no
Pretty Crazy,pretty-crazy,Films,1,6,6,1,2025-11-30,2026-01-04,no
Princess Aurora,princess-aurora,Films,1,1,1,6,2024-05-26,2024-05-26,no
Prison Playbook,prison-playbook,TV,3,33,28,2,2021-07-11,2023-02-26,yes
Pro Bono,pro-bono,TV,7,40,8,3,2025-12-14,2026-02-01,yes
PROJECT SILENCE,project-silence,Films,2,8,8,1,2024-10-20,2025-06-29,yes
Project Wolf Hunting,project-wolf-hunting,Films,3,10,10,1,2023-03-19,2023-06-25,yes
Project Y,project-y,Films,1,3,3,1,2026-04-19,2026-05-03,yes
Proof of Innocence,proof-of-innocence,Films,1,2,2,3,2026-02-22,2026-03-01,no
Puppy Love,puppy-love,Films,1,1,1,8,2026-02-08,2026-02-08,no
Pure Love,pure-love,Films,1,3,3,6,2025-03-30,2025-04-13,no
Queen,queen,TV,2,4,3,3,2022-06-26,2022-07-10,no
Queen Mantis,queen-mantis,TV,7,38,6,1,2025-09-07,2025-10-12,yes
Queen of Divorce,queen-of-divorce,TV,1,3,3,5,2024-06-16,2024-06-30,yes
Queen of Masks,queen-of-masks,TV,1,8,8,5,2023-04-30,2023-06-18,no
Queen of Tears,queen-of-tears,TV,46,443,22,1,2024-03-10,2024-08-18,yes
Queenmaker,queenmaker,TV,45,98,6,1,2023-04-16,2023-05-21,yes
Racket Boys,racket-boys,TV,5,22,7,4,2021-07-04,2021-08-22,yes
Rainbow,rainbow,Films,1,3,3,3,2022-10-02,2022-10-16,no
Ransomed,ransomed,Films,2,11,10,1,2023-11-12,2025-02-09,yes
Real,real,Films,1,2,2,4,2025-03-30,2025-04-06,yes
Real Men,real-men,TV,2,7,6,1,2025-05-25,2025-06-29,no
Rebirth,rebirth,TV,1,2,2,9,2026-04-12,2026-04-19,no
Reborn Rich,reborn-rich,TV,2,13,13,1,2022-11-20,2025-06-08,yes
Rebound,rebound,Films,1,5,5,1,2023-07-16,2023-08-13,yes
Recalled,recalled,Films,1,2,2,6,2022-02-27,2022-03-06,yes
Red Balloon,red-balloon,TV,1,10,10,3,2023-01-08,2023-03-12,no
Red Eye,red-eye,TV,30,54,12,2,2022-10-09,2025-07-13,yes
Reflection of You,reflection-of-you,TV,2,9,8,3,2021-10-17,2021-12-05,no
Remarriage & Desires,remarriage-desires,TV,33,71,6,1,2022-07-17,2022-08-21,yes
Remember,remember,Films,1,3,3,3,2024-05-05,2024-05-19,no
Remember You,remember-you,TV,1,1,1,10,2021-10-10,2021-10-10,no
Reminiscence,reminiscence,Films,11,15,11,2,2022-05-22,2024-09-01,yes
Reply 1988,reply-1988,TV,5,44,39,3,2021-07-04,2022-12-11,yes
Reset,reset,TV,3,5,2,6,2022-04-10,2022-04-17,no
Resident Playbook,resident-playbook,TV,18,85,10,1,2025-04-13,2025-06-15,yes
Respect,respect,Films,1,1,1,7,2023-03-12,2023-03-12,no
Return,return,TV,1,4,4,3,2023-12-24,2024-01-14,no
Revelations,revelations,Films,66,112,5,1,2025-03-23,2025-04-20,yes
Revenge,revenge,Films,7,14,7,1,2022-01-23,2026-01-04,yes
Revolver,revolver,Films,2,3,3,7,2022-05-22,2026-06-14,yes
Rewind,rewind,Films,8,10,3,1,2024-03-31,2024-04-14,yes
Road to Boston,road-to-boston,Films,1,1,1,9,2026-03-08,2026-03-08,yes
Romance in the House,romance-in-the-house,TV,37,152,9,2,2024-08-11,2024-10-06,yes
Rookie Cops,rookie-cops,TV,1,1,1,7,2023-10-08,2023-10-08,yes
Runaway,runaway,TV,2,5,3,6,2023-11-19,2023-12-03,no
Running Wild,running-wild,Films,1,1,1,9,2021-09-05,2021-09-05,no
RV: Resurrected Victims,rv-resurrected-victims,Films,1,1,1,10,2022-03-20,2022-03-20,yes
Safe,safe,Films,22,52,22,1,2021-12-05,2024-08-04,yes
Save Me,save-me,TV,2,6,6,2,2024-01-21,2024-03-31,no
Scent of a Woman,scent-of-a-woman,Films,38,49,5,3,2023-02-19,2025-01-26,yes
Search Out,search-out,Films,1,1,1,7,2024-05-19,2024-05-19,no
Search WWW,search-www,TV,3,7,6,2,2021-08-08,2021-11-14,no
Secret Garden,secret-garden,TV,1,2,2,4,2022-06-19,2022-06-26,no
Secret Royal Inspector & Joy,secret-royal-inspector-joy,TV,11,18,3,3,2022-05-08,2022-05-29,yes
Secret Zoo,secret-zoo,Films,1,1,1,9,2022-05-15,2022-05-15,yes
Secretary,secretary,Films,1,1,1,8,2023-01-08,2023-01-08,no
"Secretly, Greatly",secretly-greatly,Films,2,3,3,7,2023-12-10,2024-06-02,yes
Secrets and Lies,secrets-and-lies,TV,2,2,1,8,2025-04-27,2025-04-27,no
See You in My 19th Life,see-you-in-my-19th-life,TV,35,122,7,2,2023-06-18,2023-07-30,yes
Sell Your Haunted House,sell-your-haunted-house,TV,7,21,6,3,2022-07-24,2022-08-28,yes
Seobok,seobok,Films,2,3,3,4,2022-06-19,2025-03-23,no
Seoul Vibe,seoul-vibe,Films,20,45,6,1,2022-08-28,2022-10-02,yes
Serve the People,serve-the-people,Films,1,2,2,5,2023-11-05,2023-11-12,no
Seven Days,seven-days,Films,1,2,2,9,2023-09-10,2023-09-17,no
Sh**ting Stars,sh-ting-stars,TV,20,70,7,2,2022-10-16,2022-11-27,yes
Shadows in the Palace,shadows-in-the-palace,Films,1,1,1,9,2024-06-16,2024-06-16,no
She was pretty,she-was-pretty,TV,1,4,4,4,2021-07-11,2021-08-01,no
She Would Never Know,she-would-never-know,TV,10,13,4,1,2022-07-10,2023-06-11,yes
Shiri,shiri,Films,1,1,1,8,2025-07-06,2025-07-06,yes
Showtime,showtime,Films,1,1,1,10,2022-05-08,2022-05-08,no
Single in Seoul,single-in-seoul,Films,1,3,3,4,2024-03-03,2024-03-17,yes
Single Rider,single-rider,Films,1,1,1,6,2024-01-14,2024-01-14,no
Sinkhole,sinkhole,Films,2,12,12,1,2021-11-21,2024-08-11,yes
Siren,siren,TV,1,1,1,5,2025-09-07,2025-09-07,no
Sister,sister,Films,1,2,2,1,2026-05-17,2026-05-24,no
