sector,source_industry_ksic,company_en,ticker,lead_or_other,market_cap_krw,employees,avg_annual_pay_krw,avg_tenure_years,female_to_male_pay_pct,female_share_pct,market_cap_per_employee_krw
Information Technology,"Electronics and telecom equipment","SUNNY ELECTRONICS CO.,LTD",004770,기타,60078585096,32,50552250,11.67,74.2,31.3,1877455784
Information Technology,"Electronics and telecom equipment","YMC Co., Ltd.",155650,기타,60053843070,156,53102564,6.59,87,12.8,384960533
Information Technology,"Electronics and telecom equipment","TRUEN Co., Ltd",417790,기타,59879196520,105,66455486,4.08,59.7,8.6,570278062
Information Technology,"Computer programming","Openbase, Inc.",049480,기타,59733950083,272,65132353,6.06,70.6,14.3,219610111
Information Technology,"Electronics and telecom equipment","COTS Technology Co., Ltd.",448710,기타,59723799600,221,56605398,3.54,57.1,14.9,270243437
Information Technology,"Electronics and telecom equipment","RFTECH CO., LTD",061040,기타,59718271800,240,56533333,8.73,56.3,26.7,248826133
Information Technology,"Electronics and telecom equipment","COWEAVER Co.,Ltd.",056360,기타,58388928000,159,63890528,9.72,60,13.8,367225962
Information Technology,"Electronics and telecom equipment","DG-ITX Co., Ltd.",099520,기타,58141862016,76,59514211,8.25,54.7,22.4,765024500
Information Technology,"Electronics and telecom equipment","DERKWOO ELECTRONICS CO.,LTD.",263600,기타,56393297400,318,51000000,3.66,75.8,25.5,177337413
Information Technology,"Electronics and telecom equipment","WITS Co., Ltd.",459100,기타,56288298000,131,67039542,2.94,52.4,16,429681664
Information Technology,"Electronics and telecom equipment","ILJIN DISPLAY CO.,LTD.",020760,기타,55503470462,42,54428571,6.41,68.4,14.3,1321511201
Information Technology,"Electronics and telecom equipment","Piolink, Inc.",170790,기타,55145027700,434,54258065,5.81,74.5,23.5,127062276
Information Technology,"Electronics and telecom equipment","SAMWHA ELECTRONICS CO.,LTD",011230,기타,55101631875,106,48984443,13.98,83.1,17.9,519826716
Information Technology,"Electronics and telecom equipment","PULOON Robotics Inc.",094940,기타,53930939700,130,47777323,8.82,50,39.2,414853382
Information Technology,"Electronics and telecom equipment","JMT CO.,Ltd.",094970,기타,53761850400,15,75424800,7.12,38.9,20,3584123360
Information Technology,"Electronics and telecom equipment","M2N Co.,Ltd",033310,기타,52883559288,208,53541692,8.39,63.9,53.4,254247881
Information Technology,"Electronics and telecom equipment","UTI INC.",179900,기타,52741447980,126,63253968,5.09,77.3,14.3,418582920
Information Technology,"Electronics and telecom equipment","RFsemiTechnologies,Inc.",096610,기타,51550708615,93,39571785,8.8,90.7,47.3,554308695
Information Technology,"Electronics and telecom equipment","OPTICIS CO., LTD.",109080,기타,51118520000,99,47888889,8.53,70.9,44.4,516348687
Information Technology,"Computer programming","INSUNG INFORMATION CO., LTD",033230,기타,50717441520,205,61073171,5.83,73.7,14.1,247402154
Information Technology,"Electronics and telecom equipment","CAP Co.,Ltd.",198080,기타,50607684750,196,51958408,12.59,73.6,41.8,258202473
Information Technology,"Electronics and telecom equipment","VECT Co., Ltd.",457600,기타,50580675000,52,56143231,6.27,63.9,28.8,972705288
Information Technology,"Electronics and telecom equipment","HYUNWOOINDUSTRIALCO.,LTD",092300,기타,50273928145,269,51478669,7.17,83.4,28.6,186891926
Information Technology,"Electronics and telecom equipment","MOTIVELINK CO.,LTD",463480,기타,49685335580,111,50723081,6.81,69.8,21.6,447615636
Information Technology,"Electronics and telecom equipment","CITECH CO.,LTD",004920,기타,48527280960,111,37267261,4.37,54,23.4,437182711
Information Technology,"Electronics and telecom equipment","LUMENS CO., LTD.",038060,기타,48054965931,92,65304348,8.43,65.7,19.6,522336586
Information Technology,"Electronics and telecom equipment","PRO2000 CO.,LTD.",321260,기타,48011119052,109,39899083,4,87.8,22,440468982
Information Technology,"Electronics and telecom equipment","SAWNICS INC.",088280,기타,47938977300,95,59745789,5.03,71.4,22.1,504620814
Information Technology,"Electronics and telecom equipment","WINPAC INC.",097800,기타,47184487805,395,47908861,4.25,86,29.9,119454400
Information Technology,"Electronics and telecom equipment","ELCOMTEC CO.,LTD",037950,기타,47121713370,40,56494800,5,86.8,15,1178042834
Information Technology,"Electronics and telecom equipment","KOCOM CO., LTD",015710,기타,46280520000,151,53847682,10.37,76.8,16.6,306493510
Information Technology,"Electronics and telecom equipment","ALT  Co., Ltd.",459550,기타,45977447303,51,106647059,4.02,69.4,29.4,901518575
Information Technology,"Electronics and telecom equipment","ATEC MOBILITY Co., Ltd",224110,기타,45875885580,243,47004115,3.51,72,21.4,188789653
Information Technology,"Electronics and telecom equipment","BLUETOP CO.,LTD.",191600,기타,45256830240,151,46814570,3,74,24.5,299714108
Information Technology,"Electronics and telecom equipment","CU TECH CORPORATION",376290,기타,44850050000,39,48886462,10.34,98.5,30.8,1150001282
Information Technology,"Electronics and telecom equipment","LMS Co.,Ltd.",073110,기타,43500241950,189,51285714,7.79,83,19,230160010
Information Technology,"Computer programming","Obigo Inc.",352910,기타,42715770760,137,72510949,5.97,69.5,38,311793947
Information Technology,"Electronics and telecom equipment","ABKO CO., LTD.",129890,기타,42494046666,59,36135593,3,86.8,37.3,720238079
Information Technology,"Electronics and telecom equipment","EV ADVANCED MATERIAL CO., LTD.",131400,기타,41416357990,126,51827183,9.75,63.9,18.3,328701254
Information Technology,"Electronics and telecom equipment","EXICURE HITRON INC.",019490,기타,41349858070,32,56750000,5.31,114.5,21.9,1292183065
Information Technology,"Electronics and telecom equipment","SANGSHIN ELECTRONICS CO., LTD.",263810,기타,41324920875,118,44764712,7.68,65.8,30.5,350211194
Information Technology,"Electronics and telecom equipment","ATUM CO., LTD.",355690,기타,41200524645,35,46133114,1.97,50.4,25.7,1177157847
Information Technology,"Electronics and telecom equipment","MICRO2NANO, INC.",424980,기타,40248452000,134,47719910,7.35,62.7,13.4,300361582
Information Technology,"Electronics and telecom equipment","INNO INSTRUMENT INC.",215790,기타,39799751212,40,36850000,2.15,50,32.5,994993780
Information Technology,"Electronics and telecom equipment","3ALogics. Inc.",177900,기타,39473160000,48,58729167,6.46,83.8,22.9,822357500
Information Technology,"Electronics and telecom equipment","DAP Co., Ltd",066900,기타,39234267675,1127,54017746,5.54,88.6,20.4,34813015
Information Technology,"Electronics and telecom equipment","SUNGMOON ELECTRONICS CO.,LTD",014910,기타,38468772320,72,47686556,12.77,76.4,22.2,534288504
Information Technology,"Electronics and telecom equipment","BG T&A Co.",046310,기타,37598687890,62,76935484,9.84,50,29,606430450
Information Technology,"Electronics and telecom equipment","RNT-X CO.,LTD.",123010,기타,37581552720,59,55261068,5.34,66.8,42.4,636975470
Information Technology,"Electronics and telecom equipment","SUNGWOOELECTRONICSCO.,LTD.",081580,기타,37374624630,98,63918367,9.63,74.2,12.2,381373721
Information Technology,"Electronics and telecom equipment","i-Components Co., Ltd",059100,기타,36768472000,120,54163983,6.84,97.6,14.2,306403933
Information Technology,"Electronics and telecom equipment","Finecircuit CO.,LTD.",127980,기타,35818069100,119,37843950,3.81,88.4,22.7,300992177
Information Technology,"Electronics and telecom equipment","Cellfie Global Co.,Ltd.",068940,기타,35720093048,105,53574190,6.15,76,18.1,340191362
Information Technology,"Electronics and telecom equipment","DongilTechnology",032960,기타,35273914875,117,60076923,14.28,59.7,25.6,301486452
Information Technology,"Electronics and telecom equipment","Kisan Telecom CO., Ltd.",035460,기타,34913595600,60,56297167,13.96,60.9,8.3,581893260
Information Technology,"Electronics and telecom equipment","INZI DISPLAY COMPANY LIMITED",037330,기타,34888753080,123,58731512,12.54,71.5,19.5,283648399
Information Technology,"Computer programming","PLANTYNETCo.,Ltd.",075130,기타,34824211200,83,60662651,6.79,57.4,25.3,419568810
Information Technology,"Electronics and telecom equipment","PHOTON CO., LTD",208710,기타,34729647820,33,62797515,3.27,64.5,30.3,1052413570
Information Technology,"Electronics and telecom equipment","UNION biometrics Co., Ltd.",203450,기타,34634357220,151,49165046,6.3,66.6,18.5,229366604
Information Technology,"Electronics and telecom equipment","ODTech",080520,기타,34589983935,280,33564286,7.7,91.4,47.9,123535657
Information Technology,"Electronics and telecom equipment","HiDeep Inc.",365590,기타,33795756900,68,85279412,6.47,74.2,16.2,496996425
Information Technology,"Electronics and telecom equipment","DHAUTOWARE Co., LTD",025440,기타,33707823020,331,71978852,4.66,73.3,15.1,101836323
Information Technology,"Electronics and telecom equipment","TechL Co., LTD.",064520,기타,33280731318,114,46964912,5.75,69.8,37.7,291936240
Information Technology,"Electronics and telecom equipment","Pixelplus. Co., Ltd.",087600,기타,33115392690,113,78548673,7.21,66.7,19.5,293056572
Information Technology,"Computer programming","MiraeING.Co.,Ltd.",007120,기타,32514505660,42,51678024,6.79,73.2,33.3,774154897
Information Technology,"Computer programming","DaishinInformation",020180,기타,32126572940,597,54676663,5.16,70.5,14.1,53813355
Information Technology,"Electronics and telecom equipment","S Connect Co., LTD",096630,기타,31657388062,63,87816206,11.42,61,15.9,502498223
Information Technology,"Computer programming","Korea Computer Terminal Inc.",089150,기타,31487400000,52,45984942,7.72,94.7,9.6,605526923
Information Technology,"Electronics and telecom equipment","Edge Foundry Co.,Ltd",105550,기타,31087899247,124,43579782,5.75,82.7,23.4,250708865
Information Technology,"Computer programming","ISAAC Engineering Co., Ltd.",351330,기타,29921557200,155,55870968,5.6,87.7,16.1,193042305
Information Technology,"Electronics and telecom equipment","FINEDIGITAL Inc.",038950,기타,29202787900,128,63046875,9.54,64.4,38.3,228146780
Information Technology,"Electronics and telecom equipment","Signetics Corp.",033170,기타,29147628460,123,45300813,8.08,66,27.6,236972589
Information Technology,"Electronics and telecom equipment","ATLAS LINK Inc.",297570,기타,28562504850,37,90958784,5.23,62.8,10.8,771959591
Information Technology,"Electronics and telecom equipment","CammSys Corp.",050110,기타,28172729372,135,55252896,7.22,84.5,18.5,208686884
Information Technology,"Electronics and telecom equipment","iA, Inc.",038880,기타,27577932410,22,31181818,2.06,56.8,36.4,1253542382
Information Technology,"Electronics and telecom equipment","FRTEKCO.,LTD.",073540,기타,27360000000,33,68375848,4.34,121.4,24.2,829090909
Information Technology,"Electronics and telecom equipment","PAVONINE CO., LTD.",177830,기타,27182383200,224,37688357,7.54,71.6,32.1,121349925
Information Technology,"Electronics and telecom equipment","Samjin",032750,기타,27003054780,63,53603526,8.77,76.4,9.5,428619917
Information Technology,"Electronics and telecom equipment","POINT MOBILE Co., Ltd.",318020,기타,26570747520,160,58537000,5.94,60.4,29.4,166067172
Information Technology,"Electronics and telecom equipment","SD system  Co., Ltd",121890,기타,25851862470,70,51719314,5.59,66.8,15.7,369312321
Information Technology,"Electronics and telecom equipment","SUNGWOO TECHRON COMPANY",045300,기타,25681974220,272,44765853,9.19,62.4,37.5,94419023
Information Technology,"Electronics and telecom equipment","RN2 Technologies Co., Ltd.",148250,기타,25193413104,112,40141500,5.75,61,50,224941188
Information Technology,"Computer programming","ITCENCORE CO.,LTD.",243870,기타,24847700290,121,62536620,4.27,75.9,28.1,205352895
Information Technology,"Electronics and telecom equipment","ICH Co., Ltd.",368600,기타,24712007570,195,53400000,2.33,68.4,20,126728244
Information Technology,"Electronics and telecom equipment","Iron Device Corp.",464500,기타,24488210250,46,74239130,3.81,88.2,19.6,532352397
Information Technology,"Electronics and telecom equipment","MOATECH CO., LTD.",033200,기타,23931775400,83,51481422,10.46,58.9,25.3,288334643
Information Technology,"Computer programming","Inticube Co., Ltd.",070590,기타,23720101389,204,77500000,8.75,82.7,25,116275007
Information Technology,"Electronics and telecom equipment","S&KPOLYTECCO.,LTD.",091340,기타,23582997815,23,49981652,13.94,82.8,13,1025347731
Information Technology,"Electronics and telecom equipment","AHA Co.,Ltd",102950,기타,23514450176,148,35054054,3.48,86.1,18.9,158881420
Information Technology,"Computer programming","Saltware Co., Ltd.",328380,기타,23470000875,153,52841497,3.91,67,21.6,153398699
Information Technology,"Electronics and telecom equipment","IL ROBOTICS CO., LTD.",403810,기타,23352763100,6,58333333,2,46.9,16.7,3892127183
Information Technology,"Electronics and telecom equipment","RANIX INC.",317120,기타,22493240000,80,71437500,3.34,52.6,11.3,281165500
Information Technology,"Electronics and telecom equipment","FINE DNC CO.,LTD.",049120,기타,22422517245,120,58024523,7.58,61.1,12.5,186854310
Information Technology,"Electronics and telecom equipment","Sigetronics, Inc.",429270,기타,22282093105,81,39901086,4.17,73.4,39.5,275087569
Information Technology,"Electronics and telecom equipment","Aroot Co., Ltd.",096690,기타,21964717320,79,45881266,6.74,69.3,17.7,278034396
Information Technology,"Computer programming","Bellock Inc.",424760,기타,21918522240,109,57830064,3.4,72,21.1,201087360
Information Technology,"Electronics and telecom equipment","PIMS Inc.",347770,기타,21485619480,210,49598471,2.59,75.6,12.4,102312474
Information Technology,"Electronics and telecom equipment","N CITRON, INC.",101400,기타,21405279524,10,67600000,6.54,61.3,40,2140527952
Information Technology,"Electronics and telecom equipment","Dasan Solueta Co.,Ltd.",154040,기타,21248148562,108,57633481,5.2,83,14.8,196742116
Information Technology,"Electronics and telecom equipment","Linked Inc.",193250,기타,21243234537,34,48809529,4.92,57.8,17.6,624801016
Information Technology,"Electronics and telecom equipment","Digital Graphics Incorporation",043360,기타,21195000000,69,47925275,9.08,59.9,18.8,307173913
Information Technology,"Electronics and telecom equipment","DILLI ILLUSTRATE INC.,",131180,기타,21073300000,65,48456000,7.78,74.6,20,324204615
Information Technology,"Computer programming","ECSTELECOMCo.,Ltd.",067010,기타,20742592500,207,82138111,7.57,85.2,11.1,100205761
Information Technology,"Electronics and telecom equipment","IMAGIS Co., Ltd.",115610,기타,20576476829,34,66764706,6.43,,,605190495
Information Technology,"Computer programming","LOGISYS INC.",067730,기타,20557084250,488,36172131,6.39,79.3,6.6,42125173
Information Technology,"Electronics and telecom equipment","SAMYOUNG S&C CO., LTD.",361670,기타,20431907090,58,46334865,7.77,63.3,29.3,352274260
Information Technology,"Electronics and telecom equipment","IntermCorporation",017250,기타,20119466452,261,43645697,9.33,78.8,41,77086078
Information Technology,"Electronics and telecom equipment","CNPLUS Co., Ltd.",115530,기타,20105171550,57,45403509,4.55,74.3,21.1,352722308
Information Technology,"Computer programming","CATIS INC.",140430,기타,19989378090,81,66565593,6.2,66.3,18.5,246782446
Information Technology,"Electronics and telecom equipment","LDTInc.",096870,기타,18949957730,62,49566581,7.18,61.6,16.1,305644480
Information Technology,"Electronics and telecom equipment","SEJIN T.S CO., LTD.",067770,기타,18724402390,28,46500000,17.44,73.1,39.3,668728657
Information Technology,"Electronics and telecom equipment","THE CODI Co., LTD.",224060,기타,17830294510,33,43170920,7.89,68.6,39.4,540311955
Information Technology,"Electronics and telecom equipment","AUTOMOBILE & PCB",015260,기타,17574601462,233,40023858,4.68,76.1,52.8,75427474
Information Technology,"Electronics and telecom equipment","CS CORPORATION",065770,기타,17497066496,45,64933333,5.55,45.1,15.6,388823700
Information Technology,"Electronics and telecom equipment","Zinitix Co.,Ltd.",303030,기타,17216054880,84,70583333,7.12,60.3,8.3,204953034
Information Technology,"Electronics and telecom equipment","U.I.DISPLAY CO.,LTD.",069330,기타,17122099740,49,47733796,6.36,78.8,12.2,349430607
Information Technology,"Electronics and telecom equipment","RYUK-IL C&S., Ltd.",191410,기타,15708365510,25,77493320,8.28,52.9,36,628334620
Information Technology,"Electronics and telecom equipment","WELKEEPS HITECH CO.,LTD",043590,기타,15576501388,3,69470667,4.67,105.6,33.3,5192167129
Information Technology,"Electronics and telecom equipment","NANOCMS CO., LTD",247660,기타,12401891600,58,29896552,3.51,43.6,41.4,213825717
Information Technology,"Electronics and telecom equipment","Samyung ENC Co., Ltd.",065570,기타,12295692232,190,38200000,10.71,57.8,35.8,64714170
Information Technology,"Computer programming","Humax Holdings Co., Ltd",028080,기타,11791412360,66,61685455,3.84,77.7,36.4,178657763
Information Technology,"Electronics and telecom equipment","IK Semicon Co., Ltd.",149010,기타,10873200000,20,49750000,2.2,55.4,25,543660000
Information Technology,"Electronics and telecom equipment","KESPION Co., Ltd.",079190,기타,10192977314,41,51880220,8.95,73.1,19.5,248609203
Information Technology,"Electronics and telecom equipment","JOOYONTECH CO.,LTD.",044380,기타,10059126480,43,50329070,10.37,82.5,20.9,233933174
Information Technology,"Electronics and telecom equipment","NC& Co., Ltd.",092600,기타,9622036354,140,66200000,5.25,70.4,22.9,68728831
Information Technology,"Electronics and telecom equipment","KEM Tech Corp.",106080,기타,9506998050,25,64932920,2.14,64.5,12,380279922
Information Technology,"Electronics and telecom equipment","Coset Inc.",189350,기타,8918400000,78,35115385,9.75,61.2,73.1,114338462
Information Technology,"Electronics and telecom equipment","Elivision Co., Ltd.",276240,기타,6279700380,12,43583333,4.58,74.7,16.7,523308365
Information Technology,"Electronics and telecom equipment","Luxpia Co., Ltd.",092590,기타,5169388482,76,34473684,3.87,75,55.3,68018270
Information Technology,"Electronics and telecom equipment","TIDE Co., Ltd.",346010,기타,4860062000,27,61851852,6.53,57.6,14.8,180002296
Information Technology,"Computer programming","UNIPOINT Corp.",121060,기타,4632854436,93,48978495,5.4,79.5,18.3,49815639
Information Technology,"Electronics and telecom equipment","CNSLINK Co., Ltd",245450,기타,2526356040,41,54609756,7.44,69.5,24.4,61618440
Information Technology,"Electronics and telecom equipment","WIWORLD Co.,Ltd",140660,기타,1644073572,29,32310345,6.69,87.9,17.2,56692192
Information Technology,"Electronics and telecom equipment","GEOMC CO., LTD.",033030,기타,,3,57895893,5.2,123.4,33.3,
Information Technology,"Electronics and telecom equipment","ZalmanTechCo.,Ltd.",090120,기타,,33,68010364,5.63,68.4,15.2,
Information Technology,"Electronics and telecom equipment","PEOPLE & TELECOMMUNICATION INC.",054340,기타,,1,43000000,6,,,
Information Technology,"Electronics and telecom equipment","EMSONIC CORPORATION",008120,기타,,46,49260870,8.39,73.1,19.6,
Information Technology,"Electronics and telecom equipment","DAHAAM e-TEC CO., LTD",009280,기타,,5,64344400,12.82,55.5,40,
Information Technology,"Electronics and telecom equipment","WOOJEON CO., LTD.",052270,기타,,76,63605263,8.35,60.6,9.2,
Information Technology,"Electronics and telecom equipment","TELAUM CO., LTD.",047730,기타,,12,38500000,2.83,213.3,25,
Information Technology,"Electronics and telecom equipment","Global Display Co., Ltd.",155960,기타,,78,47221449,5.87,71.2,6.4,
Information Technology,"Computer programming","BFLABS Co.,LTD.",139050,기타,,83,49595108,2.88,81.1,12,
Information Technology,"Electronics and telecom equipment","Y&NEXT Inc.",090740,기타,,2,60000000,4,,,
Information Technology,"Electronics and telecom equipment","JangWonTech Co., Ltd.",174880,기타,,107,41448598,6.19,61.7,30.8,
Information Technology,"Electronics and telecom equipment","DAIDONG ELECTRONICS.,LTD",008110,기타,,43,58727651,11.16,59.7,14,
Information Technology,"Electronics and telecom equipment","THE MIDONG Co,. Ltd",161570,기타,,5,66293000,7.08,55.7,40,
Information Technology,"Electronics and telecom equipment","Melfas Inc.",096640,기타,,37,41270270,2.13,46.9,29.7,
Information Technology,"Electronics and telecom equipment","KH Mirae Corporation Co., Ltd.",111870,기타,,11,34145364,3.04,83.2,9.1,
Information Technology,"Electronics and telecom equipment","ENTERMEDIA CO., LTD",068420,기타,,6,68333333,6.17,44,33.3,
Information Technology,"Electronics and telecom equipment","Hustory Co., Ltd.",046400,기타,,13,50208231,6.79,59.8,15.4,
Information Technology,"Electronics and telecom equipment","FutureCore Co.,Ltd.",151910,기타,,55,50835646,6.41,70.5,23.6,
Information Technology,"Electronics and telecom equipment","MUGUNGHWA INFORMATION TECHNOLOGY CO., LTD.",038340,기타,,12,73706253,3.5,49.9,25,
Information Technology,"Electronics and telecom equipment","KH FEELUX Co.,Ltd.",033180,기타,,125,55714136,8.7,68.8,24,
Information Technology,"Computer programming","DOUZONE BIZON CO.,LTD",012510,기타,,1818,61030253,7.1,80.3,38.2,
Information Technology,"Electronics and telecom equipment","IMCo.,LTD",101390,기타,,11,84454545,2.82,38.9,18.2,
