# SeoulMarkets — Korean Listed Workforce Panel — FULL CATEGORY SAMPLE
# Category: Electronics and telecom equipment (320 of 320 listed companies in this KSIC division)
# Source: FSS DART annual reports (empSttus/exctvSttus) parsed by us; market cap from KRX (data.go.kr), 2026-08-05.
# Figures as filed. Empty cell = not disclosed (not zero). Definitions in method.md. Corrections in corrections.csv.
# Not investment advice. https://seoulmarkets.com/rankings
company_en,ticker,industry,avg_tenure_years,tenure_gap_M_minus_F_years,avg_annual_pay_krw,female_to_male_pay_pct,employees,female_share_pct,ceo_tenure_months,market_cap_per_employee_krw
"DERKWOO ELECTRONICS CO.,LTD.",263600,Electronics and telecom equipment,3.66,1.37,51000000,75.8,318,25.5,15.9,177337413
AUK CORP,017900,Electronics and telecom equipment,11.93,5.7,43986750,77.7,708,41.7,11.1,577800801
"NANOCMS CO., LTD",247660,Electronics and telecom equipment,3.51,3.96,29896552,43.6,58,41.4,11.3,213825717
"TLB Co., Ltd.",356860,Electronics and telecom equipment,4.95,0.79,58012368,88.4,465,14.8,14.6,718178326
"Solid, Inc.",050890,Electronics and telecom equipment,5.13,1.59,76855856,71.6,333,18,,1837292184
"BHCo.,Ltd.",090460,Electronics and telecom equipment,5.63,-0.66,56500730,86.4,1370,31.2,22.3,361476272
"Micro Contact Solution Co.,Ltd.",098120,Electronics and telecom equipment,4.81,0.18,55153061,67.3,196,46.9,25.7,1043336957
"HD HYUNDAI ENERGY SOLUTIONS CO.,LTD.",322000,Electronics and telecom equipment,10.01,5.7,89889483,56.8,238,15.5,,6395294118
"OKins Electronics Co.,Ltd.",080580,Electronics and telecom equipment,5.6,0.37,56041444,73.8,171,27.5,27.7,1640407611
"MOBASE Co., Ltd.",101330,Electronics and telecom equipment,10.54,8,39657143,85,35,5.7,26,2347770084
"Sigetronics, Inc.",429270,Electronics and telecom equipment,4.17,-0.42,39901086,73.4,81,39.5,17.9,275087569
SK hynix Inc.,000660,Electronics and telecom equipment,13.43,-3.4,185004892,80.3,34549,33.3,3.8,35267627567
"DUKSANHIMETALCO.,LTD.",077360,Electronics and telecom equipment,4.68,1.58,71448161,78.1,299,9.7,16.4,1486200266
"Edge Foundry Co.,Ltd",105550,Electronics and telecom equipment,5.75,-4.4,43579782,82.7,124,23.4,19.5,250708865
CammSys Corp.,050110,Electronics and telecom equipment,7.22,-5.84,55252896,84.5,135,18.5,15.8,208686884
"ASICLAND Co.,Ltd",445090,Electronics and telecom equipment,3.48,0.41,69939394,78.4,264,25.4,9.8,798731816
